,MODEL,WEIGHTED,R2,AIC,BIC
158,"('TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5175.285037873252,0.738763269049354,30794.426825784674,30821.82332397359
173,"('Age', 'Items', 'TransactionTime', 'Record', 'Gender_Male')",5173.842605332626,0.7416803686563925,30775.53659885028,30808.41239667698
146,"('Items', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5171.04255350151,0.7384760811409175,30796.37268700125,30823.769185190165
140,"('Items', 'TransactionTime', 'Record', 'CityTier_Tier_3')",5170.888420126835,0.7384656452364348,30796.44335594111,30823.839854130027
139,"('Items', 'TransactionTime', 'Record', 'CityTier_Tier_2')",5166.641430303881,0.738178036364483,30798.389851457054,30825.78634964597
209,"('Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5166.344972792645,0.7411747510670247,30778.999647872894,30811.875445699592
212,"('Items', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5166.184066775906,0.7411638962727347,30779.073919751958,30811.949717578656
208,"('Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5162.322324722403,0.7409033336582378,30780.855836077284,30813.731633903983
120,"('Age', 'TransactionTime', 'Record', 'CityTier_Tier_3')",5148.834907451164,0.7369709453587798,30806.536018143735,30833.93251633265
126,"('Age', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5148.5193024829,0.7369495328990101,30806.680184433073,30834.076682621988
194,"('Age', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5148.063323456841,0.7399404437951683,30787.425264811147,30820.301062637845
197,"('Age', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5147.358971242155,0.7398928474234567,30787.749365423944,30820.625163250643
119,"('Age', 'TransactionTime', 'Record', 'CityTier_Tier_2')",5143.9890918761375,0.7366421087170343,30808.748724111458,30836.145222300373
193,"('Age', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5143.533992363645,0.7396343222405009,30789.50872003376,30822.384517860457
230,"('Age', 'Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5142.03014594047,0.7419939063231953,30774.382043045796,30812.737140510275
233,"('Age', 'Items', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5141.921664067783,0.7419865961828152,30774.432220446757,30812.787317911236
229,"('Age', 'Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5138.404195931186,0.7417495296541536,30776.058694320993,30814.41379178547
181,"('Age', 'Items', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5136.7260884924945,0.7391739614777438,30792.637315893608,30825.513113720306
175,"('Age', 'Items', 'TransactionTime', 'Record', 'CityTier_Tier_3')",5136.550234036829,0.7391620661344921,30792.718083031144,30825.593880857843
160,"('TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5136.493014965393,0.7361331361856999,30812.16810313074,30839.564601319657
218,"('TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5133.777623032059,0.7389744927788777,30793.99118400333,30826.86698183003
174,"('Age', 'Items', 'TransactionTime', 'Record', 'CityTier_Tier_2')",5132.679164066853,0.738900166395656,30794.49540019543,30827.371198022127
245,"('Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5128.118101842309,0.7410558434059129,30780.809397512105,30819.164494976583
210,"('Items', 'TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5124.539366422481,0.7383491600817147,30798.228853226894,30831.104651053593
239,"('Age', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5109.684307591196,0.73981105520703,30789.302495406813,30827.657592871292
252,"('Age', 'Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5109.380719712322,0.7418713065116255,30776.219137279302,30820.053534381565
195,"('Age', 'TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5102.32511063376,0.7368433165216308,30808.392031705866,30841.267829532564
231,"('Age', 'Items', 'TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5098.309358986707,0.7390418871955391,30794.5301850487,30832.88528251318
3,"('MonthlyIncome',)",371.75764326740006,0.19415370494024076,32786.40407441062,32797.362673686184
16,"('Items', 'MonthlyIncome')",246.91075597900843,0.19767121669855614,32779.655341024874,32796.09323993822
26,"('MonthlyIncome', 'CityTier_Tier_3')",240.40360182104044,0.1960183666212566,32783.29996474093,32799.73786365428
10,"('Age', 'MonthlyIncome')",234.9386022104176,0.194619384405474,32786.3789460328,32802.816844946145
22,"('MonthlyIncome', 'TransactionTime')",233.69620792049122,0.19429993934154732,32787.08125377438,32803.519152687724
24,"('MonthlyIncome', 'Gender_Male')",233.663730839282,0.194291581773416,32787.099624353104,32803.53752326645
25,"('MonthlyIncome', 'CityTier_Tier_2')",231.96642854595402,0.19385430091611233,32788.060535652665,32804.49843456601
62,"('Items', 'MonthlyIncome', 'CityTier_Tier_3')",172.48444207834606,0.19935039685137468,32776.94298121729,32798.860179768424
37,"('Age', 'Items', 'MonthlyIncome')",167.5280626473842,0.19810337449073867,32779.69919131214,32801.61638986327
58,"('Items', 'MonthlyIncome', 'TransactionTime')",167.11830769567192,0.19799992888328521,32779.92763765964,32801.844836210774
60,"('Items', 'MonthlyIncome', 'Gender_Male')",166.0749814501884,0.19773628928650144,32780.50971865578,32802.42691720692
61,"('Items', 'MonthlyIncome', 'CityTier_Tier_2')",164.61670294875287,0.1973672047040208,32781.324286828436,32803.24148537957
47,"('Age', 'MonthlyIncome', 'CityTier_Tier_3')",160.69171959556834,0.19637036056617818,32783.52244717458,32805.43964572572
76,"('MonthlyIncome', 'TransactionTime', 'CityTier_Tier_3')",159.79220466658577,0.19614119349556602,32784.02740244917,32805.9446010003
81,"('MonthlyIncome', 'Gender_Male', 'CityTier_Tier_3')",159.70405103372545,0.19611872041715828,32784.07691271791,32805.99411126904
82,"('MonthlyIncome', 'CityTier_Tier_2', 'CityTier_Tier_3')",158.1434615145652,0.1957204508566227,32784.95410782617,32806.8713063773
45,"('Age', 'MonthlyIncome', 'Gender_Male')",154.60709002627985,0.19481493980894482,32786.94689502427,32808.86409357541
43,"('Age', 'MonthlyIncome', 'TransactionTime')",154.53885373164675,0.1947974260662193,32786.98541598371,32808.90261453485
74,"('MonthlyIncome', 'TransactionTime', 'Gender_Male')",153.00789694680273,0.19440407105338486,32787.85036804362,32809.76756659475
46,"('Age', 'MonthlyIncome', 'CityTier_Tier_2')",152.5948590689783,0.19429781113134326,32788.08395153773,32810.001150088865
75,"('MonthlyIncome', 'TransactionTime', 'CityTier_Tier_2')",151.41604515482945,0.19399422423382473,32788.75113494026,32810.6683334914
80,"('MonthlyIncome', 'Gender_Male', 'CityTier_Tier_2')",151.37482029692742,0.19398359875485116,32788.77448167026,32810.6916802214
97,"('Age', 'Items', 'MonthlyIncome', 'CityTier_Tier_3')",116.24829960364013,0.1996762693101667,32777.21947219996,32804.61597038888
131,"('Items', 'MonthlyIncome', 'TransactionTime', 'CityTier_Tier_3')",116.13927968288874,0.1996489685063949,32777.27988387712,32804.676382066034
136,"('Items', 'MonthlyIncome', 'Gender_Male', 'CityTier_Tier_3')",115.07964853255663,0.19938342059071523,32777.86738528537,32805.263883474276
137,"('Items', 'MonthlyIncome', 'CityTier_Tier_2', 'CityTier_Tier_3')",113.68975779812058,0.19903457114122214,32778.63888793916,32806.035386128075
93,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime')",111.43304691971167,0.19846685197984193,32779.89371673136,32807.29021492028
